# Price, Year of Construction, # of rooms, # of bedrooms, # of bathrooms, # of power rooms, # of garages
259000,2010,5,2,1,0,0
529000,1987,14,4,2,1,2
274000,1963,9,4,2,0,0
285000,2007,9,3,1,1,0
349000,1971,12,6,2,0,3
319000,1988,5,2,2,0,1
899900,2003,12,5,3,1,3
339000,1973,12,4,2,0,0
429000,1986,13,4,4,0,3
789000,2011,10,4,3,1,2
369000,2012,6,3,2,0,2
749000,1989,11,5,3,1,3
1098000,2002,21,6,4,1,3
349000,1967,11,4,2,0,0
519000,2002,13,6,2,1,0
479000,2012,8,3,2,0,2
1290000,1999,15,3,2,1,3
319000,1974,8,4,2,0,2
319000,1967,10,4,2,0,2
1328000,2008,13,6,3,1,3
369000,1978,10,5,2,0,1
499000,1987,15,3,2,1,0
328000,2005,7,3,2,0,4
219000,1999,5,1,1,0,0
409000,1983,13,4,2,1,2
275000,1958,7,3,1,0,0
380000,2004,9,4,1,1,0
639000,2005,10,5,2,1,3
223900,2004,7,2,1,0,0
689000,1996,10,6,2,1,2
534000,2005,9,4,2,1,2
479000,1977,11,6,3,1,1
369000,2012,10,3,1,1,2
278000,1972,10,4,2,0,0
430000,1974,11,5,2,2,2
269000,1966,10,4,2,0,0
274900,1958,8,3,2,0,0
849000,2010,11,5,2,1,2
838000,2013,13,6,3,1,4
499000,1993,10,4,2,1,2
219000,2007,6,2,1,0,0
378900,1989,5,2,2,0,2
359900,1964,11,5,2,0,0
519000,1999,10,4,2,1,2
235000,2012,5,1,1,0,2
494900,1977,17,5,3,1,2
1499000,2012,11,5,3,1,2
289000,1966,7,3,1,0,2
415000,1973,8,4,2,1,2
349000,1972,10,4,1,1,2
237000,2005,6,2,1,1,0
419000,1988,8,5,2,1,1
318500,1977,11,5,2,0,3
334900,1966,10,4,2,0,0
247100,2012,6,2,1,0,1
689000,2010,15,4,2,1,1
459900,1983,9,4,1,2,3
429000,1999,9,3,1,2,2
499900,2008,10,4,2,1,2
274500,2008,5,2,1,0,2
329000,1964,10,3,2,0,0
224000,1990,5,2,1,0,1
328800,2005,5,2,1,1,3
1999999,2012,13,7,3,1,0
234900,2007,5,2,1,0,0
249000,1975,8,4,2,0,3
435000,1977,9,5,2,1,0
725000,1998,10,4,3,1,3
1190000,2002,13,6,3,1,2
379900,2012,6,3,1,1,2
239900,1955,7,3,2,0,0
345000,1962,11,5,2,0,1
599000,2005,9,4,2,1,2
464900,1988,13,7,4,0,0
469000,1987,8,3,1,1,3
448000,1985,9,5,2,1,3
329000,2003,5,2,1,1,0
549000,2011,8,4,3,1,2
350000,2000,9,3,2,0,3
1100000,2010,11,5,3,1,3
409900,1979,9,4,2,1,2
285000,1949,14,5,3,0,0
489000,1989,11,6,3,1,2
380000,1974,8,3,2,0,3
1500000,1968,1,0,0,0,0
218000,2008,9,2,1,0,0
499000,1965,10,3,1,1,0
279900,1968,10,4,2,0,1
309900,2011,5,2,1,0,4
289000,1974,11,4,1,1,3
275000,1971,7,4,2,0,0
1150000,2012,20,7,4,1,3
819900,2007,10,3,2,1,2
279900,1988,7,2,2,0,2
1275000,2000,8,2,2,0,2
